id,package_name,BLOB,LM,SAK,CC,IGS,MIM,NLMR,LIC
1364,com.seb.SLWP,0,28,0,0,0,0,0,7
1365,com.seb.SLWP,0,33,0,3,0,0,0,13
1366,org.ligi.fast,0,14,0,0,0,0,2,0
1367,naman14.timber,0,0,0,0,0,0,0,0
1369,naman14.timber,0,0,0,0,0,0,0,0
1371,im.vector.alpha,0,0,0,0,0,0,0,0
1372,de.onyxbits.listmyapps,0,3,0,0,0,0,0,0
1375,douzifly.list,13,131,0,22,30,5,3,0
1387,com.color.colornamer,0,11,0,1,0,4,0,12
1388,uk.ac.ed.inf.mandelbrotmaps,0,6,0,0,0,0,0,1
1393,fr.simon.marquis.preferencesmanager,6,117,0,18,4,4,2,61
1395,fr.simon.marquis.preferencesmanager,9,73,0,15,9,6,2,48
1400,org.mariotaku.twidere.extension.twitlonger,0,21,0,0,0,0,0,0
1401,com.innodroid.mongobrowser,0,0,0,0,0,0,0,0
1408,org.torproject.android,4,81,0,7,3,0,6,57
1417,com.lukekorth.screennotifications,0,137,0,13,74,19,0,21
1418,com.lukekorth.screennotifications,5,142,0,18,76,23,0,26
1419,com.lukekorth.screennotifications,9,230,3,45,94,28,2,52
1422,com.plusonelabs.calendar,4,114,0,66,99,14,0,1
1423,com.plusonelabs.calendar,9,123,2,71,138,20,0,6
1424,com.plusonelabs.calendar,11,124,3,72,143,21,0,7
1425,org.isoron.uhabits,0,0,0,0,0,0,0,0
1426,org.isoron.uhabits,0,0,0,0,0,0,0,0
1427,org.isoron.uhabits,0,0,0,0,0,0,0,0
1428,com.ichi2.anki,0,0,0,0,0,0,0,0
1429,com.ichi2.anki,0,0,0,0,0,0,0,0
1430,com.ichi2.anki,0,0,0,0,0,0,0,0
1435,com.nolanlawson.logcat,0,33,0,0,0,0,0,0
1436,com.nolanlawson.logcat,0,39,0,1,1,0,2,0
1437,info.guardianproject.pixelknot,21,156,2,44,33,26,5,90
1438,info.guardianproject.pixelknot,15,156,0,38,37,22,0,88
1441,jp.yhonda,0,11,0,0,0,0,2,14
1444,ca.rmen.android.poetassistant,0,93,0,8,10,18,3,21
1456,ch.blinkenlights.android.vanilla,4,111,0,10,0,7,0,38
1457,ch.blinkenlights.android.vanilla,9,116,0,15,4,12,4,43
1458,ch.blinkenlights.android.vanilla,10,117,0,16,5,13,5,46
1464,org.kiwix.kiwixmobile,0,9,0,0,0,0,0,33
1465,org.kiwix.kiwixmobile,1,30,0,7,1,0,2,48
1468,com.opendoorstudios.ds4droid,0,29,0,4,0,1,7,14
1473,net.somethingdreadful.MAL,18,159,0,42,40,28,0,109
1474,net.somethingdreadful.MAL,28,242,1,66,118,41,3,157
1481,com.grarak.kerneladiutor,18,216,0,39,38,26,1,200
1482,com.grarak.kerneladiutor,12,212,0,34,32,20,0,195
1483,com.grarak.kerneladiutor,17,219,0,39,37,25,1,200
1487,com.mantz,5,74,0,6,0,4,1,32
1491,com.github.premnirmal.tickerwidget,0,0,0,0,0,0,0,0
1492,com.ubergeek42.WeechatAndroid,29,296,0,62,27,31,6,0
1494,com.ubergeek42.WeechatAndroid,7,203,0,23,8,16,3,57
1495,org.smc.inputmethod.indic,0,0,0,0,0,0,0,0
1496,org.smc.inputmethod.indic,0,0,0,0,0,0,0,0
1497,org.smc.inputmethod.indic,0,0,0,0,0,0,0,0
1505,com.notriddle.budget,0,16,0,0,0,0,0,6
1506,com.nightshadelabs.anotherbrowser,0,0,0,0,0,0,0,0
1516,org.yaaic,27,170,1,51,36,76,13,77
1517,org.yaaic,3,67,0,6,6,41,6,16
1526,de.j4velin.wifiAutoOff,0,9,0,0,0,0,0,0
1527,de.j4velin.wifiAutoOff,0,10,0,0,0,0,0,0
1528,net.sourceforge.subsonic.androidapp,0,61,0,6,0,0,0,120
1529,net.sourceforge.subsonic.androidapp,4,66,0,11,4,0,4,125
1530,net.sourceforge.subsonic.androidapp,4,68,1,12,5,0,5,127
1533,org.addhen.smssync,13,342,0,73,80,11,0,217
1539,net.codechunk.speedofsound,16,113,0,37,22,31,4,0
1543,com.google.zxing.client.android,2,311,0,48,12,6,8,15
1544,aws.apps.usbDeviceEnumerator,0,17,0,0,0,0,0,0
1548,com.hobbyone.HashDroid,0,42,0,0,0,4,3,18
1552,dk.nindroid.rss,0,0,0,0,0,0,0,0
1558,com.mobilepearls.sokoban,0,1,0,0,0,0,0,2
1561,com.github.quarck.calnotify,0,0,0,0,0,0,0,0
1568,com.menny.android.anysoftkeyboard,8,143,1,17,29,15,13,51
1569,com.menny.android.anysoftkeyboard,0,169,0,12,13,10,0,0
1570,com.menny.android.anysoftkeyboard,2,174,0,17,18,19,4,0
1576,kvj.taskw,1,47,0,11,1,15,9,93
1579,jp.co.kayo.android.localplayer,32,513,0,95,36,83,12,278
1580,org.zamedev.gloomydungeons2.opensource,32,349,1,86,83,116,0,137
1585,com.moonpi.swiftnotes,1,14,0,1,0,1,1,20
1595,org.jfedor.frozenbubble,2,84,0,6,13,0,0,42
1599,tv.piratemedia.lightcontroler,7,74,0,13,0,5,5,75
1605,wb.receiptspro,0,0,0,0,0,0,0,0
1606,wb.receiptspro,0,0,0,0,0,0,0,0
1609,com.google.android.diskusage,2,53,0,4,13,7,3,79
1613,com.brentpanther.bitcoinwidget,5,124,2,29,10,11,0,45
1616,at.tomtasche.reader,0,0,0,0,0,0,0,0
1620,com.simplemobiletools.camera,0,8,0,0,0,1,0,0
1621,a2dp.Vol,3,53,0,4,5,0,7,72
1623,a2dp.Vol,0,45,0,0,0,0,1,67
1627,org.cprados.wificellmanager,0,32,0,9,3,0,4,25
1628,org.cprados.wificellmanager,1,32,0,9,1,0,5,19
1640,jp.sblo.pandora.aGrep,0,7,0,0,0,0,0,11
1644,com.simplemobiletools.applauncher,0,5,0,0,0,0,0,0
1648,com.dozingcatsoftware.asciicam,1,11,0,3,2,0,4,18
1649,com.unleashyouradventure.swaccess,0,0,0,0,0,0,0,0
1650,com.unleashyouradventure.swaccess,0,0,0,0,0,0,0,0
1651,de.onyxbits.textfiction,4,39,0,6,0,42,2,0
1657,org.evilsoft.pathfinder.reference,15,205,0,46,31,30,0,87
1660,com.jmstudios.redmoon,2,23,0,3,0,0,4,31
1663,com.gh4a,30,313,1,76,61,38,1,231
1664,com.gh4a,0,0,0,0,0,0,0,0
1666,com.koushikdutta.superuser,0,17,0,1,0,8,2,61
1667,com.koushikdutta.superuser,0,18,0,2,1,9,3,62
1668,com.koushikdutta.superuser,0,12,0,0,0,3,0,56
1669,ca.mimic.apphangar,1,58,0,7,0,0,2,0
1670,ca.mimic.apphangar,2,59,0,8,0,1,3,0
1671,ca.mimic.apphangar,0,59,0,3,0,0,0,0
1678,org.androidsoft.games.memory.kids,0,2,0,0,0,3,0,9
1683,simple.reboot.com,0,12,0,1,1,0,0,0
1687,eu.siacs.conversations,0,0,0,0,0,0,0,0
1690,com.phpsysinfo,1,23,0,1,0,0,1,3
1691,com.Pau.ImapNotes2,0,0,0,0,0,0,0,0
1710,org.montrealtransit.android,16,132,0,26,39,2,11,173
1725,trikita.obsqr,0,9,0,0,0,0,0,3
1726,trikita.obsqr,0,23,0,2,0,0,0,3
1728,et.nWifiManager,0,4,0,0,0,0,0,8
1732,com.darshancomputing.BatteryIndicatorPro,3,38,0,6,0,0,4,38
1739,com.zegoggles.smssync,7,221,4,31,33,14,4,61
1740,com.zegoggles.smssync,1,210,0,25,23,7,0,55
1741,com.zegoggles.smssync,6,215,3,30,28,12,3,60
1743,net.cyclestreets,13,186,1,26,68,48,13,119
1744,com.matejdro.pebbledialer,2,116,0,21,13,18,0,40
1745,com.matejdro.pebbledialer,0,0,0,0,0,0,0,0
1746,com.matejdro.pebbledialer,0,0,0,0,0,0,0,0
1757,net.ralphbroenink.muzei.unsplash,0,0,0,0,0,0,0,0
1761,com.numix.icons,22,127,0,40,26,52,5,100
1762,com.numix.icons,23,124,1,41,32,50,7,90
1763,com.numix.icons,17,118,0,35,26,44,1,84
1768,com.google.android.stardroid,6,61,1,14,0,1,4,69
1774,com.umang.dashnotifier,2,27,0,5,4,3,2,23
1775,com.better.alarm,0,0,0,0,0,0,0,0
1776,com.better.alarm,0,0,0,0,0,0,0,0
1777,com.better.alarm,0,0,0,0,0,0,0,0
1780,com.dozuki.ifixit,0,0,0,0,0,0,0,0
1781,com.dozuki.ifixit,40,397,0,98,97,88,5,267
1782,com.dozuki.ifixit,41,398,1,99,98,89,6,266
1783,com.termux,0,59,0,3,0,0,0,0
1784,com.termux,0,64,0,8,3,0,1,0
1785,com.termux.styling,0,1,0,0,0,0,0,1
1786,com.u17od.upm,0,55,0,1,0,0,5,35
1787,com.u17od.upm,0,62,0,6,2,0,10,40
1793,com.iskrembilen.quasseldroid,5,56,0,14,16,12,3,62
1794,com.iskrembilen.quasseldroid,0,0,0,0,0,0,0,0
1796,de.ph1b.audiobook,0,0,0,0,0,0,0,0
1797,de.ph1b.audiobook,0,0,0,0,0,0,0,0
1798,vnd.blueararat.kaleidoscope6,0,15,0,0,0,0,0,4
1806,com.elsdoerfer.android.autostarts,0,47,0,5,0,0,0,31
1810,at.bitfire.davdroid,0,0,0,0,0,0,0,0
1815,me.phh.superuser,0,9,0,0,0,7,0,45
1817,de.j4velin.pedometer,3,41,0,3,2,0,1,0
1818,de.j4velin.pedometer,4,43,0,4,3,1,2,0
1819,com.daviancorp.android.mh4udatabase,0,146,0,11,0,5,0,87
1826,com.amaze.filemanager,0,0,0,0,0,0,0,0
1827,com.amaze.filemanager,0,0,0,0,0,0,0,0
1828,com.amaze.filemanager,0,0,0,0,0,0,0,0
1960,a2dp.Vol,2,50,0,3,4,0,6,72
1962,acr.browser.lightning,9,202,5,40,8,11,2,0
1964,aws.apps.usbDeviceEnumerator,0,10,0,0,0,0,0,1
1965,be.uhasselt.privacypolice,0,4,0,0,0,0,2,0
1966,ch.corten.aha.worldclock,24,187,1,53,41,34,4,78
1967,com.adam.aslfms,0,48,0,2,2,0,0,14
1968,com.adam.aslfms,0,53,0,8,7,1,2,19
1969,com.adam.aslfms,0,54,0,8,8,2,3,20
1970,com.amaze.filemanager,0,0,0,0,0,0,0,0
1971,com.amaze.filemanager,0,0,0,0,0,0,0,0
1972,com.android.keepass,6,116,0,20,54,64,5,70
1973,com.angrydoughnuts.android.alarmclock,0,20,0,0,0,0,0,51
1975,com.app.missednotificationsreminder,0,0,0,0,0,0,0,0
1976,com.bleyl.recurrence,4,48,0,8,0,3,6,0
1978,com.dozingcatsoftware.cameratimer,0,2,0,0,0,0,0,2
1979,com.duckduckgo.mobile.android,0,0,0,0,0,0,0,0
1981,com.easwareapps.g2l,6,154,0,22,5,15,13,86
1982,com.gelakinetic.mtgfam,0,0,0,0,0,0,0,0
1983,com.gelakinetic.mtgfam,0,0,0,0,0,0,0,0
1992,com.matejdro.pebbledialer,0,0,0,0,0,0,0,0
1994,com.mobilepearls.sokoban,0,1,0,0,0,0,0,0
1995,com.nextcloud.client,27,354,0,62,109,40,8,200
1996,com.oakley.fon,0,10,0,0,0,0,1,0
1998,com.palliser.nztides,0,0,0,0,0,0,0,0
2002,com.pindroid,10,88,0,19,23,2,8,73
2009,com.xargsgrep.portknocker,20,415,4,95,64,169,5,33
2011,damo.three.ie,6,240,1,76,100,25,0,31
2012,de.blinkt.openvpn,6,111,0,10,1,4,4,63
2013,de.danoeh.antennapod,0,0,0,0,0,0,0,0
2015,de.j4velin.wifiAutoOff,0,6,0,0,0,0,0,0
2019,dev.ukanth.ufirewall,0,0,0,0,0,0,0,0
2025,info.guardianproject.pixelknot,9,84,0,11,15,7,2,64
2026,me.tsukanov.counter,0,0,0,0,0,0,0,6
2029,net.kervala.comicsreader,3,59,0,7,3,5,3,13
2030,net.sourceforge.opencamera,5,124,0,14,16,19,1,104
2032,org.ametro,0,0,0,0,0,0,0,0
2033,org.isoron.uhabits,0,0,0,0,0,0,0,0
2034,org.jsl.wfwt,7,92,0,10,0,0,0,48
2035,org.kde.necessitas.ministro,0,41,0,0,0,0,0,10
2036,org.ligi.fast,0,13,0,0,0,0,1,0
2038,org.primftpd,0,0,0,0,0,0,0,0
2040,org.quantumbadger.redreader,0,0,0,0,0,0,0,0
2041,org.quantumbadger.redreader,0,0,0,0,0,0,0,0
2044,org.tamanegi.atmosphere,1,10,0,1,0,0,0,9
2045,org.tasks,0,0,0,0,0,0,0,0
2046,org.tasks,0,0,0,0,0,0,0,0
2047,org.telegram.messenger,0,0,0,0,0,0,0,0
